                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2467,                 1.2392,                 1.3126,                0.78334,                0.72443,                0.80137,                 0.4959,                 1.2997,                 1.2718,                 1.3623,             0.00055446,             0.00055446,             0.00055446
                      2,                 1.1396,                0.91863,                 1.2333,                 0.8473,                0.78902,                0.87228,                0.57233,                 1.1897,                0.81723,                 1.2448,             0.00056061,             0.00056061,             0.00056061
